nameStd,icd10
Cholera,A00
Enterohemorrhagic Escherichia coli infection,A04.3
Salmonella sepsis,A02.1
Typhoid and paratyphoid fevers,A01
Other bacterial intestinal infections,A04
Other salmonella infections,A02
"Bacterial foodborne intoxication, unspecified",A05.9
Localized salmonella infections,A02.2
Campylobacter enteritis,A04.5
Whooping cough,A37
Enterotoxigenic Escherichia coli infection,A04.1
Other specified bacterial intestinal infections,A04.8
"Other bacterial foodborne intoxications, not elsewhere classified",A05
Enteroinvasive Escherichia coli infection,A04.2
Enteritis due to Yersinia enterocolitica,A04.6
Amebiasis,A06
Other protozoal intestinal diseases,A07
Botulism food poisoning,A05.1
"Salmonella infection, unspecified",A02.9
Foodborne Vibrio parahaemolyticus intoxication,A05.3
Other specified bacterial foodborne intoxications,A05.8
Adenoviral enteritis,A08.2
Tuberculosis of eye,A18.5
"Viral intestinal infection, unspecified",A08.4
"Bacterial intestinal infection, unspecified",A04.9
Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05.2
Other viral enteritis,A08.3
Anthrax,A22
Shigellosis,A03
Cyclosporiasis,A07.4
Foodborne Bacillus cereus intoxication,A05.4
Tuberculosis of adrenal glands,A18.7
Other specified intestinal infections,A08.8
Enterocolitis due to Clostridium difficile,A04.7
Tuberculosis of (inner) (middle) ear,A18.6
"Infectious gastroenteritis and colitis, unspecified",A09
Other specified salmonella infections,A02.8
Listeriosis,A32
Tuberculosis of genitourinary system,A18.1
Obstetrical tetanus,A34
Scarlet fever,A38
Other intestinal Escherichia coli infections,A04.4
Viral and other specified intestinal infections,A08
"Other specified zoonotic bacterial diseases, not elsewhere classified",A28.8
"Mycobacterial infection, unspecified",A31.9
Tuberculosis of skin and subcutaneous tissue,A18.4
Isosporiasis,A07.3
Bartonellosis,A44
Tuberculosis of other organs,A18
"Tuberculosis of intestines, peritoneum and mesenteric glands",A18.3
"Other bacterial diseases, not elsewhere classified",A48
Giardiasis [lambliasis],A07.1
Sepsis due to Hemophilus influenzae,A41.3
Rat-bite fevers,A25
"Other zoonotic bacterial diseases, not elsewhere classified",A28
"Sepsis, unspecified organism",A41.9
Foodborne Vibrio vulnificus intoxication,A05.5
Disseminated mycobacterium avium-intracellulare complex (DMAC),A31.2
Miliary tuberculosis,A19
Cryptosporidiosis,A07.2
Infection due to other mycobacteria,A31
Tuberculosis of nervous system,A17
Other specified botulism,A48.5
Cutaneous mycobacterial infection,A31.1
Late syphilis,A52
Acute gastroenteropathy due to Norwalk agent and other small round viruses,A08.1
Sepsis due to anaerobes,A41.4
Early syphilis,A51
Actinomycosis,A42
Tuberculous peripheral lymphadenopathy,A18.2
Other specified protozoal intestinal diseases,A07.8
Other sexually transmitted chlamydial diseases,A56
Chlamydial lymphogranuloma (venereum),A55
Extraintestinal yersiniosis,A28.2
Meningococcal infection,A39
Respiratory tuberculosis,A15
Granuloma inguinale,A58
Chlamydial infection of pelviperitoneum and other genitourinary organs,A56.1
Other mycobacterial infections,A31.8
Plague,A20
Nonvenereal syphilis,A65
Diphtheria,A36
"Other predominantly sexually transmitted diseases, not elsewhere classified",A63
Sepsis due to unspecified staphylococcus,A41.2
"Protozoal intestinal disease, unspecified",A07.9
Spotted fever [tick-borne rickettsioses],A77
Sepsis due to other specified staphylococcus,A41.1
Other specified spirochetal infections,A69.8
Leprosy [Hansen's disease],A30
Brucellosis,A23
"Other viral infections of central nervous system, not elsewhere classified",A88
Yaws,A66
Tularemia,A21
Sepsis due to other Gram-negative organisms,A41.5
Tuberculosis of other specified organs,A18.8
Lyme disease,A69.2
Nocardiosis,A43
Rickettsialpox due to Rickettsia akari,A79.1
Leptospirosis,A27
